model,model_key,condition,depth,route,signals,task_id,family,correct,answer_key,raw_output
meta-llama/Llama-3.1-8B-Instruct,llama,D0,0,-,,T001,percentage,1,3480,$3480
meta-llama/Llama-3.1-8B-Instruct,llama,D0,0,-,,T002,percentage,0,312.5,62.5
meta-llama/Llama-3.1-8B-Instruct,llama,D0,0,-,,T003,percentage,0,288,36
meta-llama/Llama-3.1-8B-Instruct,llama,D0,0,-,,T004,percentage,0,1044,$1048
meta-llama/Llama-3.1-8B-Instruct,llama,D0,0,-,,T005,percentage,0,500,50
meta-llama/Llama-3.1-8B-Instruct,llama,D0,0,-,,T006,percentage,0,26.4,24
meta-llama/Llama-3.1-8B-Instruct,llama,D0,0,-,,T007,percentage,0,697,$698
meta-llama/Llama-3.1-8B-Instruct,llama,D0,0,-,,T008,percentage,1,540,$540
meta-llama/Llama-3.1-8B-Instruct,llama,D0,0,-,,T009,percentage,0,127.5,57.5
meta-llama/Llama-3.1-8B-Instruct,llama,D0,0,-,,T010,percentage,1,150,$150
meta-llama/Llama-3.1-8B-Instruct,llama,D0,0,-,,T011,percentage,1,1408,$1408
meta-llama/Llama-3.1-8B-Instruct,llama,D0,0,-,,T012,percentage,0,119,112
meta-llama/Llama-3.1-8B-Instruct,llama,D0,0,-,,T013,percentage,0,528,48
meta-llama/Llama-3.1-8B-Instruct,llama,D0,0,-,,T014,percentage,0,30,20
meta-llama/Llama-3.1-8B-Instruct,llama,D0,0,-,,T015,percentage,0,552.5,$556.50
meta-llama/Llama-3.1-8B-Instruct,llama,D0,0,-,,T016,percentage,0,672,624
meta-llama/Llama-3.1-8B-Instruct,llama,D0,0,-,,T017,percentage,1,2560,$2560
meta-llama/Llama-3.1-8B-Instruct,llama,D0,0,-,,T018,percentage,0,422.4,384
meta-llama/Llama-3.1-8B-Instruct,llama,D0,0,-,,T019,percentage,0,192,240
meta-llama/Llama-3.1-8B-Instruct,llama,D0,0,-,,T020,percentage,0,30,20
meta-llama/Llama-3.1-8B-Instruct,llama,D0,0,-,,T021,percentage,0,108,36
meta-llama/Llama-3.1-8B-Instruct,llama,D0,0,-,,T022,percentage,1,196.8,$196.80
meta-llama/Llama-3.1-8B-Instruct,llama,D0,0,-,,T023,percentage,0,225,75
meta-llama/Llama-3.1-8B-Instruct,llama,D0,0,-,,T024,percentage,1,90,90
meta-llama/Llama-3.1-8B-Instruct,llama,D0,0,-,,T025,percentage,0,500,50
meta-llama/Llama-3.1-8B-Instruct,llama,D0,0,-,,T026,percentage,0,352,336
meta-llama/Llama-3.1-8B-Instruct,llama,D0,0,-,,T027,percentage,0,960,96
meta-llama/Llama-3.1-8B-Instruct,llama,D0,0,-,,T028,percentage,0,324,36
meta-llama/Llama-3.1-8B-Instruct,llama,D0,0,-,,T029,percentage,0,420,360
meta-llama/Llama-3.1-8B-Instruct,llama,D0,0,-,,T030,percentage,0,849.6,$864
meta-llama/Llama-3.1-8B-Instruct,llama,D0,0,-,,T031,percentage,1,476,$476
meta-llama/Llama-3.1-8B-Instruct,llama,D0,0,-,,T032,percentage,0,1100,$1095
meta-llama/Llama-3.1-8B-Instruct,llama,D0,0,-,,T033,percentage,1,1560,$1560
meta-llama/Llama-3.1-8B-Instruct,llama,D0,0,-,,T034,percentage,1,196,196
meta-llama/Llama-3.1-8B-Instruct,llama,D0,0,-,,T035,percentage,1,156,$156
meta-llama/Llama-3.1-8B-Instruct,llama,D0,0,-,,T036,word_problem,0,4374,"$5,040"
meta-llama/Llama-3.1-8B-Instruct,llama,D0,0,-,,T037,word_problem,0,3500,"$2,500"
meta-llama/Llama-3.1-8B-Instruct,llama,D0,0,-,,T038,word_problem,0,3360,840
meta-llama/Llama-3.1-8B-Instruct,llama,D0,0,-,,T039,word_problem,0,4200,2100
meta-llama/Llama-3.1-8B-Instruct,llama,D0,0,-,,T040,word_problem,0,1728,432
meta-llama/Llama-3.1-8B-Instruct,llama,D0,0,-,,T041,word_problem,0,3600,"$1,800"
meta-llama/Llama-3.1-8B-Instruct,llama,D0,0,-,,T042,word_problem,0,12600,2100
meta-llama/Llama-3.1-8B-Instruct,llama,D0,0,-,,T043,word_problem,0,3630,"$3,330"
meta-llama/Llama-3.1-8B-Instruct,llama,D0,0,-,,T044,word_problem,0,8064,6720
meta-llama/Llama-3.1-8B-Instruct,llama,D0,0,-,,T045,word_problem,0,12600,2100
meta-llama/Llama-3.1-8B-Instruct,llama,D0,0,-,,T046,word_problem,0,7840,5600
