model,model_key,question,signal,profile,order,lp_A,lp_B
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL_ID,0,sig_A,-0.576957,-4.451957
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL_ID,0,sig_B,-0.576957,-4.451957
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL_ID,1,sig_A,-0.617577,-5.055076
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL_ID,1,sig_B,-0.617577,-5.055076
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL_ID,2,sig_A,-0.433938,-4.308938
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL_ID,2,sig_B,-0.433938,-4.308938
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL_ID,3,sig_A,-0.509355,-4.009355
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL_ID,3,sig_B,-0.509355,-4.009355
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL_ID,4,sig_A,-0.643066,-4.143066
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL_ID,4,sig_B,-0.643066,-4.143066
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL_ID,5,sig_A,-0.601484,-4.351484
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL_ID,5,sig_B,-0.601484,-4.351484
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL_ID,6,sig_A,-0.560253,-3.935252
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL_ID,6,sig_B,-0.560253,-3.935252
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL_ID,7,sig_A,-0.431226,-4.681226
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL_ID,7,sig_B,-0.431226,-4.681226
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL_ID,8,sig_A,-0.504077,-4.629077
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL_ID,8,sig_B,-0.504077,-4.629077
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL_ID,9,sig_A,-0.508632,-4.508632
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL_ID,9,sig_B,-0.508632,-4.508632
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL_ID,10,sig_A,-0.589973,-4.339973
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL_ID,10,sig_B,-0.589973,-4.339973
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL_ID,11,sig_A,-0.523730,-4.773729
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL_ID,11,sig_B,-0.523730,-4.773729
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL_ID,12,sig_A,-0.509148,-3.759148
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL_ID,12,sig_B,-0.509148,-3.759148
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL_ID,13,sig_A,-0.406875,-4.844375
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL_ID,13,sig_B,-0.406875,-4.844375
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL_ID,14,sig_A,-0.533164,-3.658164
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL_ID,14,sig_B,-0.533164,-3.658164
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL_ID,15,sig_A,-0.396395,-3.896395
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL_ID,15,sig_B,-0.396395,-3.896395
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL_ID,16,sig_A,-0.426667,-4.176666
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL_ID,16,sig_B,-0.426667,-4.176666
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL_ID,17,sig_A,-0.591208,-4.716208
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL_ID,17,sig_B,-0.591208,-4.716208
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL_ID,18,sig_A,-0.602585,-4.602585
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL_ID,18,sig_B,-0.602585,-4.602585
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL_ID,19,sig_A,-0.555747,-4.055747
