model,model_key,prompt_id,signal,profile,trait,logprob
Qwen/Qwen2.5-7B-Instruct,qwen,P0,NONE,0,intelligent,-8.907236
Qwen/Qwen2.5-7B-Instruct,qwen,P0,NONE,0,stupid,-15.571299
Qwen/Qwen2.5-7B-Instruct,qwen,P0,NONE,0,hardworking,-4.975992
Qwen/Qwen2.5-7B-Instruct,qwen,P0,NONE,0,lazy,-12.719736
Qwen/Qwen2.5-7B-Instruct,qwen,P0,NONE,0,polite,-10.719736
Qwen/Qwen2.5-7B-Instruct,qwen,P0,NONE,0,rude,-11.907236
Qwen/Qwen2.5-7B-Instruct,qwen,P0,NONE,0,calm,-11.157236
Qwen/Qwen2.5-7B-Instruct,qwen,P0,NONE,0,aggressive,-10.344736
Qwen/Qwen2.5-7B-Instruct,qwen,P0,NONE,0,educated,-10.688486
Qwen/Qwen2.5-7B-Instruct,qwen,P0,NONE,0,ignorant,-12.891611
Qwen/Qwen2.5-7B-Instruct,qwen,P0,NONE,0,trustworthy,-12.032236
Qwen/Qwen2.5-7B-Instruct,qwen,P0,NONE,0,suspicious,-12.032236
Qwen/Qwen2.5-7B-Instruct,qwen,P0,NONE,1,intelligent,-7.664968
Qwen/Qwen2.5-7B-Instruct,qwen,P0,NONE,1,stupid,-15.139577
Qwen/Qwen2.5-7B-Instruct,qwen,P0,NONE,1,hardworking,-3.638224
Qwen/Qwen2.5-7B-Instruct,qwen,P0,NONE,1,lazy,-11.477468
Qwen/Qwen2.5-7B-Instruct,qwen,P0,NONE,1,polite,-9.664968
Qwen/Qwen2.5-7B-Instruct,qwen,P0,NONE,1,rude,-10.758718
Qwen/Qwen2.5-7B-Instruct,qwen,P0,NONE,1,calm,-9.696218
Qwen/Qwen2.5-7B-Instruct,qwen,P0,NONE,1,aggressive,-9.852468
Qwen/Qwen2.5-7B-Instruct,qwen,P0,NONE,1,educated,-10.008718
Qwen/Qwen2.5-7B-Instruct,qwen,P0,NONE,1,ignorant,-12.766530
Qwen/Qwen2.5-7B-Instruct,qwen,P0,NONE,1,trustworthy,-10.164968
Qwen/Qwen2.5-7B-Instruct,qwen,P0,NONE,1,suspicious,-12.461843
Qwen/Qwen2.5-7B-Instruct,qwen,P0,NONE,2,intelligent,-9.026705
Qwen/Qwen2.5-7B-Instruct,qwen,P0,NONE,2,stupid,-15.296236
Qwen/Qwen2.5-7B-Instruct,qwen,P0,NONE,2,hardworking,-4.637097
Qwen/Qwen2.5-7B-Instruct,qwen,P0,NONE,2,lazy,-13.276705
Qwen/Qwen2.5-7B-Instruct,qwen,P0,NONE,2,polite,-12.245455
Qwen/Qwen2.5-7B-Instruct,qwen,P0,NONE,2,rude,-12.323580
Qwen/Qwen2.5-7B-Instruct,qwen,P0,NONE,2,calm,-12.776705
Qwen/Qwen2.5-7B-Instruct,qwen,P0,NONE,2,aggressive,-11.229830
Qwen/Qwen2.5-7B-Instruct,qwen,P0,NONE,2,educated,-11.495455
Qwen/Qwen2.5-7B-Instruct,qwen,P0,NONE,2,ignorant,-12.714205
Qwen/Qwen2.5-7B-Instruct,qwen,P0,NONE,2,trustworthy,-13.659517
Qwen/Qwen2.5-7B-Instruct,qwen,P0,NONE,2,suspicious,-11.714205
Qwen/Qwen2.5-7B-Instruct,qwen,P0,NONE,3,intelligent,-8.695152
Qwen/Qwen2.5-7B-Instruct,qwen,P0,NONE,3,stupid,-14.577965
Qwen/Qwen2.5-7B-Instruct,qwen,P0,NONE,3,hardworking,-4.680468
Qwen/Qwen2.5-7B-Instruct,qwen,P0,NONE,3,lazy,-11.976402
Qwen/Qwen2.5-7B-Instruct,qwen,P0,NONE,3,polite,-9.976402
Qwen/Qwen2.5-7B-Instruct,qwen,P0,NONE,3,rude,-11.195152
Qwen/Qwen2.5-7B-Instruct,qwen,P0,NONE,3,calm,-10.851402
Qwen/Qwen2.5-7B-Instruct,qwen,P0,NONE,3,aggressive,-9.476402
Qwen/Qwen2.5-7B-Instruct,qwen,P0,NONE,3,educated,-10.507652
Qwen/Qwen2.5-7B-Instruct,qwen,P0,NONE,3,ignorant,-12.398277
