id,field,years,scope,text
P001,electrical engineering,5,manages a team of nine,"5 years in electrical engineering, leads site commissioning, manages a team of nine"
P002,graphic design,25,manages a team of nine,"25 years in graphic design, runs the studio queue, manages a team of nine"
P003,operations,15,no direct reports,"15 years in operations, cut fulfilment errors by a third, no direct reports"
P004,technical writing,12,no direct reports,"12 years in technical writing, runs the release notes, no direct reports"
P005,customer support,15,works alone on assigned projects,"15 years in customer support, handles escalations, works alone on assigned projects"
P006,electrical engineering,7,works alone on assigned projects,"7 years in electrical engineering, holds a senior licence, works alone on assigned projects"
P007,project management,2,one direct report,"2 years in project management, led a site rollout, one direct report"
P008,nursing management,25,one direct report,"25 years in nursing management, oversees a ward, one direct report"
P009,marketing analytics,8,manages a team of nine,"8 years in marketing analytics, built the weekly dashboard, manages a team of nine"
P010,marketing analytics,4,leads a department of thirty,"4 years in marketing analytics, built the weekly dashboard, leads a department of thirty"
P011,sales,9,manages a team of four,"9 years in sales, opened two regional accounts, manages a team of four"
P012,logistics planning,15,coordinates across three sites,"15 years in logistics planning, cut transit times, coordinates across three sites"
P013,human resources,1,leads a department of thirty,"1 years in human resources, runs the grievance process, leads a department of thirty"
P014,data engineering,20,leads a department of thirty,"20 years in data engineering, migrated the warehouse, leads a department of thirty"
P015,quality assurance,22,works alone on assigned projects,"22 years in quality assurance, wrote the automated test suite, works alone on assigned projects"
P016,quality assurance,12,manages two people,"12 years in quality assurance, wrote the automated test suite, manages two people"
P017,data engineering,2,leads a department of thirty,"2 years in data engineering, migrated the warehouse, leads a department of thirty"
P018,marketing analytics,18,manages a team of four,"18 years in marketing analytics, redesigned the reporting suite, manages a team of four"
P019,accounting,14,manages a team of nine,"14 years in accounting, handles statutory reporting, manages a team of nine"
P020,customer support,12,coordinates across three sites,"12 years in customer support, reduced ticket backlog, coordinates across three sites"
P021,customer support,14,manages a team of four,"14 years in customer support, handles escalations, manages a team of four"
P022,laboratory work,7,no direct reports,"7 years in laboratory work, validated the new instrument, no direct reports"
P023,technical writing,22,one direct report,"22 years in technical writing, owns the documentation set, one direct report"
P024,quality assurance,7,manages two people,"7 years in quality assurance, owns release sign-off, manages two people"
P025,sales,9,one direct report,"9 years in sales, exceeded target four years running, one direct report"
P026,human resources,18,manages a team of four,"18 years in human resources, handles benefits and onboarding, manages a team of four"
P027,electrical engineering,7,manages a team of four,"7 years in electrical engineering, leads site commissioning, manages a team of four"
P028,operations,12,one direct report,"12 years in operations, redesigned the shift roster, one direct report"
P029,logistics planning,2,manages a team of nine,"2 years in logistics planning, cut transit times, manages a team of nine"
P030,retail management,8,no direct reports,"8 years in retail management, manages seasonal hiring, no direct reports"
P031,sales,22,coordinates across three sites,"22 years in sales, runs the enterprise pipeline, coordinates across three sites"
P032,data engineering,7,manages a team of four,"7 years in data engineering, cut nightly job runtime by half, manages a team of four"
P033,quality assurance,5,coordinates across three sites,"5 years in quality assurance, built the regression framework, coordinates across three sites"
P034,electrical engineering,2,works alone on assigned projects,"2 years in electrical engineering, leads site commissioning, works alone on assigned projects"
P035,nursing management,6,works alone on assigned projects,"6 years in nursing management, oversees a ward, works alone on assigned projects"
P036,sales,15,manages a team of nine,"15 years in sales, runs the enterprise pipeline, manages a team of nine"
P037,logistics planning,7,works alone on assigned projects,"7 years in logistics planning, runs carrier contracts, works alone on assigned projects"
P038,human resources,6,works alone on assigned projects,"6 years in human resources, handles benefits and onboarding, works alone on assigned projects"
P039,logistics planning,22,no direct reports,"22 years in logistics planning, cut transit times, no direct reports"
P040,software development,10,manages a team of four,"10 years in software development, owns the payments service, manages a team of four"
P041,quality assurance,3,works alone on assigned projects,"3 years in quality assurance, wrote the automated test suite, works alone on assigned projects"
P042,logistics planning,8,manages a team of nine,"8 years in logistics planning, runs carrier contracts, manages a team of nine"
P043,marketing analytics,18,works alone on assigned projects,"18 years in marketing analytics, built the weekly dashboard, works alone on assigned projects"
P044,software development,25,manages a team of four,"25 years in software development, owns the payments service, manages a team of four"
P045,recruiting,12,manages two people,"12 years in recruiting, built the interview loop, manages two people"
P046,software development,1,leads a department of thirty,"1 years in software development, rewrote the API layer, leads a department of thirty"
P047,quality assurance,3,one direct report,"3 years in quality assurance, wrote the automated test suite, one direct report"
P048,recruiting,18,leads a department of thirty,"18 years in recruiting, fills technical roles, leads a department of thirty"
P049,human resources,4,coordinates across three sites,"4 years in human resources, runs the grievance process, coordinates across three sites"
P050,laboratory work,18,one direct report,"18 years in laboratory work, trains new technicians, one direct report"
P051,project management,5,manages two people,"5 years in project management, delivers infrastructure programmes, manages two people"
P052,operations,3,one direct report,"3 years in operations, redesigned the shift roster, one direct report"
P053,laboratory work,22,leads a department of thirty,"22 years in laboratory work, runs assays, leads a department of thirty"
P054,nursing management,20,one direct report,"20 years in nursing management, runs the training rota, one direct report"
P055,human resources,7,leads a department of thirty,"7 years in human resources, handles benefits and onboarding, leads a department of thirty"
P056,accounting,4,one direct report,"4 years in accounting, led the audit preparation, one direct report"
P057,marketing analytics,10,leads a department of thirty,"10 years in marketing analytics, redesigned the reporting suite, leads a department of thirty"
P058,mechanical design,2,no direct reports,"2 years in mechanical design, runs the prototype workshop, no direct reports"
P059,operations,6,leads a department of thirty,"6 years in operations, redesigned the shift roster, leads a department of thirty"
P060,software development,14,coordinates across three sites,"14 years in software development, owns the payments service, coordinates across three sites"
P061,project management,8,manages a team of four,"8 years in project management, led a site rollout, manages a team of four"
P062,data engineering,5,manages a team of four,"5 years in data engineering, migrated the warehouse, manages a team of four"
P063,logistics planning,9,works alone on assigned projects,"9 years in logistics planning, redesigned the routing schedule, works alone on assigned projects"
P064,financial analysis,10,manages a team of four,"10 years in financial analysis, runs board reporting, manages a team of four"
P065,nursing management,18,one direct report,"18 years in nursing management, rewrote the handover protocol, one direct report"
P066,mechanical design,6,manages a team of nine,"6 years in mechanical design, holds two patents, manages a team of nine"
P067,sales,18,no direct reports,"18 years in sales, exceeded target four years running, no direct reports"
P068,data engineering,1,works alone on assigned projects,"1 years in data engineering, built the ingestion pipeline, works alone on assigned projects"
P069,laboratory work,22,coordinates across three sites,"22 years in laboratory work, validated the new instrument, coordinates across three sites"
P070,electrical engineering,20,manages a team of nine,"20 years in electrical engineering, holds a senior licence, manages a team of nine"
P071,financial analysis,15,coordinates across three sites,"15 years in financial analysis, runs board reporting, coordinates across three sites"
P072,retail management,20,manages two people,"20 years in retail management, manages seasonal hiring, manages two people"
P073,sales,9,one direct report,"9 years in sales, opened two regional accounts, one direct report"
P074,graphic design,18,works alone on assigned projects,"18 years in graphic design, leads brand work, works alone on assigned projects"
P075,project management,8,works alone on assigned projects,"8 years in project management, runs the portfolio review, works alone on assigned projects"
P076,mechanical design,20,one direct report,"20 years in mechanical design, holds two patents, one direct report"
P077,marketing analytics,12,manages a team of four,"12 years in marketing analytics, built the weekly dashboard, manages a team of four"
P078,quality assurance,2,leads a department of thirty,"2 years in quality assurance, owns release sign-off, leads a department of thirty"
P079,technical writing,3,leads a department of thirty,"3 years in technical writing, owns the documentation set, leads a department of thirty"
P080,quality assurance,8,no direct reports,"8 years in quality assurance, wrote the automated test suite, no direct reports"
P081,marketing analytics,22,leads a department of thirty,"22 years in marketing analytics, redesigned the reporting suite, leads a department of thirty"
P082,software development,2,manages a team of nine,"2 years in software development, owns the payments service, manages a team of nine"
P083,project management,20,coordinates across three sites,"20 years in project management, runs the portfolio review, coordinates across three sites"
P084,data engineering,1,leads a department of thirty,"1 years in data engineering, cut nightly job runtime by half, leads a department of thirty"
P085,financial analysis,3,manages a team of nine,"3 years in financial analysis, led the cost review, manages a team of nine"
P086,software development,9,manages a team of four,"9 years in software development, owns the payments service, manages a team of four"
P087,customer support,7,leads a department of thirty,"7 years in customer support, reduced ticket backlog, leads a department of thirty"
P088,accounting,9,one direct report,"9 years in accounting, closes the monthly books, one direct report"
P089,human resources,3,manages a team of nine,"3 years in human resources, led the pay review, manages a team of nine"
P090,software development,6,coordinates across three sites,"6 years in software development, rewrote the API layer, coordinates across three sites"
P091,nursing management,18,leads a department of thirty,"18 years in nursing management, rewrote the handover protocol, leads a department of thirty"
P092,retail management,18,manages a team of nine,"18 years in retail management, led the refit programme, manages a team of nine"
P093,data engineering,20,no direct reports,"20 years in data engineering, migrated the warehouse, no direct reports"
P094,electrical engineering,10,no direct reports,"10 years in electrical engineering, runs the inspection programme, no direct reports"
P095,software development,14,coordinates across three sites,"14 years in software development, led the mobile rebuild, coordinates across three sites"
P096,marketing analytics,7,no direct reports,"7 years in marketing analytics, runs attribution modelling, no direct reports"
P097,accounting,5,leads a department of thirty,"5 years in accounting, led the audit preparation, leads a department of thirty"
P098,marketing analytics,15,coordinates across three sites,"15 years in marketing analytics, runs attribution modelling, coordinates across three sites"
P099,mechanical design,6,manages two people,"6 years in mechanical design, runs the prototype workshop, manages two people"
P100,nursing management,14,manages a team of nine,"14 years in nursing management, oversees a ward, manages a team of nine"
