id,family,question,answer,answer_kind
T001,percentage,A price of 2400 dollars increases by 45 percent. What is the new price?,3480,number
T002,percentage,What is 25 percent of 1250?,312.5,number
T003,percentage,What is 40 percent of 720?,288,number
T004,percentage,A price of 720 dollars increases by 45 percent. What is the new price?,1044,number
T005,percentage,What is 40 percent of 1250?,500,number
T006,percentage,What is 22 percent of 120?,26.4,number
T007,percentage,A price of 850 dollars decreases by 18 percent. What is the new price?,697,number
T008,percentage,A price of 720 dollars decreases by 25 percent. What is the new price?,540,number
T009,percentage,What is 15 percent of 850?,127.5,number
T010,percentage,A price of 120 dollars increases by 25 percent. What is the new price?,150,number
T011,percentage,A price of 1600 dollars decreases by 12 percent. What is the new price?,1408,number
T012,percentage,What is 35 percent of 340?,119,number
T013,percentage,What is 22 percent of 2400?,528,number
T014,percentage,A price of 120 dollars decreases by 75 percent. What is the new price?,30,number
T015,percentage,A price of 850 dollars decreases by 35 percent. What is the new price?,552.5,number
T016,percentage,A price of 480 dollars increases by 40 percent. What is the new price?,672,number
T017,percentage,A price of 1600 dollars increases by 60 percent. What is the new price?,2560,number
T018,percentage,A price of 480 dollars decreases by 12 percent. What is the new price?,422.4,number
T019,percentage,A price of 480 dollars decreases by 60 percent. What is the new price?,192,number
T020,percentage,A price of 120 dollars decreases by 75 percent. What is the new price?,30,number
T021,percentage,What is 15 percent of 720?,108,number
T022,percentage,A price of 240 dollars decreases by 18 percent. What is the new price?,196.8,number
T023,percentage,What is 18 percent of 1250?,225,number
T024,percentage,What is 75 percent of 120?,90,number
T025,percentage,What is 40 percent of 1250?,500,number
T026,percentage,What is 22 percent of 1600?,352,number
T027,percentage,What is 60 percent of 1600?,960,number
T028,percentage,What is 45 percent of 720?,324,number
T029,percentage,What is 75 percent of 560?,420,number
T030,percentage,A price of 720 dollars increases by 18 percent. What is the new price?,849.6,number
T031,percentage,A price of 560 dollars decreases by 15 percent. What is the new price?,476,number
T032,percentage,A price of 1250 dollars decreases by 12 percent. What is the new price?,1100,number
T033,percentage,A price of 2400 dollars decreases by 35 percent. What is the new price?,1560,number
T034,percentage,What is 35 percent of 560?,196,number
T035,percentage,A price of 240 dollars decreases by 35 percent. What is the new price?,156,number
T036,word_problem,A team of 9 people works 9 hours a day for 3 days. Each person is paid 18 dollars an hour. What is the total wage bill?,4374,number
T037,word_problem,A team of 7 people works 10 hours a day for 2 days. Each person is paid 25 dollars an hour. What is the total wage bill?,3500,number
T038,word_problem,A team of 4 people works 5 hours a day for 4 days. Each person is paid 42 dollars an hour. What is the total wage bill?,3360,number
T039,word_problem,A team of 5 people works 6 hours a day for 4 days. Each person is paid 35 dollars an hour. What is the total wage bill?,4200,number
T040,word_problem,A team of 6 people works 8 hours a day for 2 days. Each person is paid 18 dollars an hour. What is the total wage bill?,1728,number
T041,word_problem,A team of 4 people works 6 hours a day for 6 days. Each person is paid 25 dollars an hour. What is the total wage bill?,3600,number
T042,word_problem,A team of 5 people works 12 hours a day for 6 days. Each person is paid 35 dollars an hour. What is the total wage bill?,12600,number
T043,word_problem,A team of 5 people works 11 hours a day for 3 days. Each person is paid 22 dollars an hour. What is the total wage bill?,3630,number
T044,word_problem,A team of 8 people works 12 hours a day for 2 days. Each person is paid 42 dollars an hour. What is the total wage bill?,8064,number
T045,word_problem,A team of 7 people works 12 hours a day for 6 days. Each person is paid 25 dollars an hour. What is the total wage bill?,12600,number
T046,word_problem,A team of 8 people works 7 hours a day for 4 days. Each person is paid 35 dollars an hour. What is the total wage bill?,7840,number
T047,word_problem,A team of 8 people works 7 hours a day for 4 days. Each person is paid 30 dollars an hour. What is the total wage bill?,6720,number
T048,word_problem,A team of 5 people works 12 hours a day for 4 days. Each person is paid 25 dollars an hour. What is the total wage bill?,6000,number
T049,word_problem,A team of 8 people works 9 hours a day for 5 days. Each person is paid 18 dollars an hour. What is the total wage bill?,6480,number
T050,word_problem,A team of 5 people works 7 hours a day for 5 days. Each person is paid 25 dollars an hour. What is the total wage bill?,4375,number
T051,word_problem,A team of 6 people works 5 hours a day for 5 days. Each person is paid 18 dollars an hour. What is the total wage bill?,2700,number
T052,word_problem,A team of 5 people works 4 hours a day for 2 days. Each person is paid 42 dollars an hour. What is the total wage bill?,1680,number
T053,word_problem,A team of 3 people works 11 hours a day for 6 days. Each person is paid 35 dollars an hour. What is the total wage bill?,6930,number
T054,word_problem,A team of 6 people works 12 hours a day for 3 days. Each person is paid 22 dollars an hour. What is the total wage bill?,4752,number
T055,word_problem,A team of 6 people works 10 hours a day for 6 days. Each person is paid 18 dollars an hour. What is the total wage bill?,6480,number
T056,word_problem,A team of 9 people works 9 hours a day for 2 days. Each person is paid 18 dollars an hour. What is the total wage bill?,2916,number
T057,word_problem,A team of 8 people works 6 hours a day for 4 days. Each person is paid 18 dollars an hour. What is the total wage bill?,3456,number
T058,word_problem,A team of 8 people works 4 hours a day for 6 days. Each person is paid 25 dollars an hour. What is the total wage bill?,4800,number
T059,word_problem,A team of 6 people works 10 hours a day for 2 days. Each person is paid 35 dollars an hour. What is the total wage bill?,4200,number
T060,word_problem,A team of 5 people works 5 hours a day for 5 days. Each person is paid 42 dollars an hour. What is the total wage bill?,5250,number
T061,word_problem,A team of 6 people works 7 hours a day for 3 days. Each person is paid 35 dollars an hour. What is the total wage bill?,4410,number
T062,word_problem,A team of 8 people works 11 hours a day for 3 days. Each person is paid 18 dollars an hour. What is the total wage bill?,4752,number
T063,word_problem,A team of 4 people works 10 hours a day for 5 days. Each person is paid 30 dollars an hour. What is the total wage bill?,6000,number
T064,word_problem,A team of 5 people works 10 hours a day for 4 days. Each person is paid 25 dollars an hour. What is the total wage bill?,5000,number
T065,word_problem,A team of 5 people works 12 hours a day for 4 days. Each person is paid 42 dollars an hour. What is the total wage bill?,10080,number
T066,conversion,How many seconds are there in 36 minutes?,2160,number
T067,conversion,How many hours are there in 48 days?,1152,number
T068,conversion,How many days are there in 90 weeks?,630,number
T069,conversion,How many millilitres are there in 48 litres?,48000,number
T070,conversion,How many seconds are there in 15 minutes?,900,number
T071,conversion,How many minutes are there in 12 hours?,720,number
T072,conversion,How many grams are there in 125 kilograms?,125000,number
T073,conversion,How many minutes are there in 24 hours?,1440,number
T074,conversion,How many hours are there in 36 days?,864,number
T075,conversion,How many kilograms are there in 12 tonnes?,12000,number
T076,conversion,How many kilograms are there in 24 tonnes?,24000,number
T077,conversion,How many kilograms are there in 125 tonnes?,125000,number
T078,conversion,How many hours are there in 125 days?,3000,number
T079,conversion,How many minutes are there in 12 hours?,720,number
T080,conversion,How many millilitres are there in 3 litres?,3000,number
T081,conversion,How many grams are there in 60 kilograms?,60000,number
T082,conversion,How many millilitres are there in 36 litres?,36000,number
T083,conversion,How many metres are there in 15 kilometres?,15000,number
T084,conversion,How many millilitres are there in 12 litres?,12000,number
T085,conversion,How many days are there in 15 weeks?,105,number
T086,conversion,How many hours are there in 15 days?,360,number
T087,conversion,How many kilograms are there in 7 tonnes?,7000,number
T088,conversion,How many hours are there in 3 days?,72,number
T089,conversion,How many kilograms are there in 48 tonnes?,48000,number
T090,conversion,How many seconds are there in 12 minutes?,720,number
T091,date,A project starts on 11 April 2026 and runs for 14 days. On what date does it end? Answer in the format DD Month YYYY.,25 April 2026,text
T092,date,A project starts on 12 March 2026 and runs for 90 days. On what date does it end? Answer in the format DD Month YYYY.,10 June 2026,text
T093,date,A project starts on 13 April 2026 and runs for 14 days. On what date does it end? Answer in the format DD Month YYYY.,27 April 2026,text
T094,date,A project starts on 05 November 2026 and runs for 21 days. On what date does it end? Answer in the format DD Month YYYY.,26 November 2026,text
T095,date,A project starts on 10 July 2026 and runs for 90 days. On what date does it end? Answer in the format DD Month YYYY.,08 October 2026,text
T096,date,A project starts on 28 October 2026 and runs for 14 days. On what date does it end? Answer in the format DD Month YYYY.,11 November 2026,text
T097,date,A project starts on 02 March 2026 and runs for 14 days. On what date does it end? Answer in the format DD Month YYYY.,16 March 2026,text
T098,date,A project starts on 18 March 2026 and runs for 75 days. On what date does it end? Answer in the format DD Month YYYY.,01 June 2026,text
T099,date,A project starts on 02 August 2026 and runs for 75 days. On what date does it end? Answer in the format DD Month YYYY.,16 October 2026,text
T100,date,A project starts on 13 May 2026 and runs for 30 days. On what date does it end? Answer in the format DD Month YYYY.,12 June 2026,text
T101,date,A project starts on 25 April 2026 and runs for 60 days. On what date does it end? Answer in the format DD Month YYYY.,24 June 2026,text
T102,date,A project starts on 26 April 2026 and runs for 90 days. On what date does it end? Answer in the format DD Month YYYY.,25 July 2026,text
T103,date,A project starts on 24 October 2026 and runs for 21 days. On what date does it end? Answer in the format DD Month YYYY.,14 November 2026,text
T104,date,A project starts on 23 December 2026 and runs for 45 days. On what date does it end? Answer in the format DD Month YYYY.,06 February 2027,text
T105,date,A project starts on 09 March 2026 and runs for 60 days. On what date does it end? Answer in the format DD Month YYYY.,08 May 2026,text
T106,date,A project starts on 16 October 2026 and runs for 14 days. On what date does it end? Answer in the format DD Month YYYY.,30 October 2026,text
T107,date,A project starts on 07 March 2026 and runs for 90 days. On what date does it end? Answer in the format DD Month YYYY.,05 June 2026,text
T108,date,A project starts on 24 September 2026 and runs for 14 days. On what date does it end? Answer in the format DD Month YYYY.,08 October 2026,text
T109,date,A project starts on 27 May 2026 and runs for 75 days. On what date does it end? Answer in the format DD Month YYYY.,10 August 2026,text
T110,date,A project starts on 03 October 2026 and runs for 75 days. On what date does it end? Answer in the format DD Month YYYY.,17 December 2026,text
T111,date,A project starts on 14 November 2026 and runs for 60 days. On what date does it end? Answer in the format DD Month YYYY.,13 January 2027,text
T112,date,A project starts on 09 July 2026 and runs for 90 days. On what date does it end? Answer in the format DD Month YYYY.,07 October 2026,text
T113,date,A project starts on 12 July 2026 and runs for 45 days. On what date does it end? Answer in the format DD Month YYYY.,26 August 2026,text
T114,date,A project starts on 05 January 2026 and runs for 21 days. On what date does it end? Answer in the format DD Month YYYY.,26 January 2026,text
T115,date,A project starts on 28 August 2026 and runs for 21 days. On what date does it end? Answer in the format DD Month YYYY.,18 September 2026,text
T116,table,Quarterly units sold. South: 314; North: 574; West: 239; Central: 482. Which region sold the most?,North,text
T117,table,Quarterly units sold. North: 338; East: 785; West: 375; South: 171. What is the total across all regions?,1669,number
T118,table,Quarterly units sold. North: 785; West: 843; Central: 434; East: 185. Which region sold the most?,West,text
T119,table,Quarterly units sold. South: 837; North: 720; Central: 737; West: 753. Which region sold the least?,North,text
T120,table,Quarterly units sold. North: 547; South: 215; East: 106; West: 683. Which region sold the most?,West,text
T121,table,Quarterly units sold. East: 621; Central: 390; South: 718; West: 893. What is the difference between the highest and the lowest region?,503,number
T122,table,Quarterly units sold. West: 737; North: 598; Central: 832; South: 726. Which region sold the most?,Central,text
T123,table,Quarterly units sold. East: 710; West: 510; South: 340; Central: 689. Which region sold the least?,South,text
T124,table,Quarterly units sold. West: 371; North: 681; South: 425; East: 437. What is the total across all regions?,1914,number
T125,table,Quarterly units sold. Central: 376; North: 236; South: 652; West: 735. What is the difference between the highest and the lowest region?,499,number
T126,table,Quarterly units sold. South: 299; East: 499; West: 634; Central: 433. What is the total across all regions?,1865,number
T127,table,Quarterly units sold. Central: 105; North: 803; South: 193; East: 868. Which region sold the least?,Central,text
T128,table,Quarterly units sold. North: 780; South: 615; Central: 880; West: 348. What is the total across all regions?,2623,number
T129,table,Quarterly units sold. West: 837; East: 220; North: 814; South: 270. What is the difference between the highest and the lowest region?,617,number
T130,table,Quarterly units sold. Central: 212; North: 171; West: 659; South: 507. Which region sold the most?,West,text
T131,table,Quarterly units sold. West: 325; Central: 613; South: 854; North: 757. What is the difference between the highest and the lowest region?,529,number
T132,table,Quarterly units sold. Central: 625; West: 313; North: 883; East: 335. What is the total across all regions?,2156,number
