model,model_key,condition,depth,route,signals,task_id,family,correct,answer_key,raw_output
Qwen/Qwen2.5-7B-Instruct,qwen,D0,0,-,,T001,percentage,0,3480,3360
Qwen/Qwen2.5-7B-Instruct,qwen,D0,0,-,,T002,percentage,1,312.5,312.5
Qwen/Qwen2.5-7B-Instruct,qwen,D0,0,-,,T003,percentage,1,288,288
Qwen/Qwen2.5-7B-Instruct,qwen,D0,0,-,,T004,percentage,0,1044,1038
Qwen/Qwen2.5-7B-Instruct,qwen,D0,0,-,,T005,percentage,1,500,500
Qwen/Qwen2.5-7B-Instruct,qwen,D0,0,-,,T006,percentage,1,26.4,26.4
Qwen/Qwen2.5-7B-Instruct,qwen,D0,0,-,,T007,percentage,0,697,683
Qwen/Qwen2.5-7B-Instruct,qwen,D0,0,-,,T008,percentage,1,540,540
Qwen/Qwen2.5-7B-Instruct,qwen,D0,0,-,,T009,percentage,0,127.5,130
Qwen/Qwen2.5-7B-Instruct,qwen,D0,0,-,,T010,percentage,1,150,150
Qwen/Qwen2.5-7B-Instruct,qwen,D0,0,-,,T011,percentage,1,1408,1408
Qwen/Qwen2.5-7B-Instruct,qwen,D0,0,-,,T012,percentage,1,119,119
Qwen/Qwen2.5-7B-Instruct,qwen,D0,0,-,,T013,percentage,1,528,528
Qwen/Qwen2.5-7B-Instruct,qwen,D0,0,-,,T014,percentage,1,30,30
Qwen/Qwen2.5-7B-Instruct,qwen,D0,0,-,,T015,percentage,0,552.5,557.5
Qwen/Qwen2.5-7B-Instruct,qwen,D0,0,-,,T016,percentage,1,672,672
Qwen/Qwen2.5-7B-Instruct,qwen,D0,0,-,,T017,percentage,1,2560,2560
Qwen/Qwen2.5-7B-Instruct,qwen,D0,0,-,,T018,percentage,1,422.4,422.4
Qwen/Qwen2.5-7B-Instruct,qwen,D0,0,-,,T019,percentage,1,192,192
Qwen/Qwen2.5-7B-Instruct,qwen,D0,0,-,,T020,percentage,1,30,30
Qwen/Qwen2.5-7B-Instruct,qwen,D0,0,-,,T021,percentage,1,108,108
Qwen/Qwen2.5-7B-Instruct,qwen,D0,0,-,,T022,percentage,0,196.8,192
Qwen/Qwen2.5-7B-Instruct,qwen,D0,0,-,,T023,percentage,1,225,225
Qwen/Qwen2.5-7B-Instruct,qwen,D0,0,-,,T024,percentage,1,90,90
Qwen/Qwen2.5-7B-Instruct,qwen,D0,0,-,,T025,percentage,1,500,500
Qwen/Qwen2.5-7B-Instruct,qwen,D0,0,-,,T026,percentage,1,352,352
Qwen/Qwen2.5-7B-Instruct,qwen,D0,0,-,,T027,percentage,1,960,960
Qwen/Qwen2.5-7B-Instruct,qwen,D0,0,-,,T028,percentage,1,324,324
Qwen/Qwen2.5-7B-Instruct,qwen,D0,0,-,,T029,percentage,1,420,420
Qwen/Qwen2.5-7B-Instruct,qwen,D0,0,-,,T030,percentage,0,849.6,846
Qwen/Qwen2.5-7B-Instruct,qwen,D0,0,-,,T031,percentage,0,476,472
Qwen/Qwen2.5-7B-Instruct,qwen,D0,0,-,,T032,percentage,1,1100,1100
Qwen/Qwen2.5-7B-Instruct,qwen,D0,0,-,,T033,percentage,1,1560,1560
Qwen/Qwen2.5-7B-Instruct,qwen,D0,0,-,,T034,percentage,1,196,196
Qwen/Qwen2.5-7B-Instruct,qwen,D0,0,-,,T035,percentage,1,156,156
Qwen/Qwen2.5-7B-Instruct,qwen,D0,0,-,,T036,word_problem,0,4374,486
Qwen/Qwen2.5-7B-Instruct,qwen,D0,0,-,,T037,word_problem,1,3500,3500
Qwen/Qwen2.5-7B-Instruct,qwen,D0,0,-,,T038,word_problem,0,3360,840
Qwen/Qwen2.5-7B-Instruct,qwen,D0,0,-,,T039,word_problem,0,4200,1470
Qwen/Qwen2.5-7B-Instruct,qwen,D0,0,-,,T040,word_problem,0,1728,576
Qwen/Qwen2.5-7B-Instruct,qwen,D0,0,-,,T041,word_problem,0,3600,900
Qwen/Qwen2.5-7B-Instruct,qwen,D0,0,-,,T042,word_problem,0,12600,4200
