model,measure,kind,signal,case,value,status,raw_output
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,0,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,1,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,2,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,3,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,4,80000.0,ok,80000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,5,45000.0,ok,45000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,6,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,7,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,8,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,9,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,10,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,11,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,12,80000.0,ok,80000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,13,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,14,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,15,90000.0,ok,90000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,16,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,17,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,18,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,19,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,20,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,21,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,22,45000.0,ok,45000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,23,70000.0,ok,70000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,24,45000.0,ok,45000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,25,90000.0,ok,90000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,26,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,27,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,28,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,29,70000.0,ok,70000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,30,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,31,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,32,70000.0,ok,70000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,33,45000.0,ok,45000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,34,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,35,75000.0,ok,75000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,36,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,37,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,38,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,39,75000.0,ok,75000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,40,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,41,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,42,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,43,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,44,75000.0,ok,75000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,45,75000.0,ok,75000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,46,50000.0,ok,50000
