model,model_key,cell,wrapper,signal,task_id,family,correct,answer_key,raw_output
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T001,percentage,1,3480,"$3,480"
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T002,percentage,0,312.5,62.5
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T003,percentage,0,288,36
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T004,percentage,0,1044,"$1,056"
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T005,percentage,0,500,50
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T006,percentage,0,26.4,24
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T007,percentage,1,697,$697
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T008,percentage,1,540,$540
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T009,percentage,0,127.5,69.75
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T010,percentage,1,150,$150
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T011,percentage,0,1408,1280
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T012,percentage,0,119,112
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T013,percentage,1,528,528
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T014,percentage,0,30,20
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T015,percentage,0,552.5,$556.50
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T016,percentage,1,672,$672
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T017,percentage,1,2560,$2560
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T018,percentage,0,422.4,384
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T019,percentage,0,192,240
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T020,percentage,0,30,20
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T021,percentage,0,108,36
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T022,percentage,1,196.8,$196.80
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T023,percentage,0,225,195
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T024,percentage,1,90,90
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T025,percentage,0,500,50
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T026,percentage,0,352,32
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T027,percentage,0,960,96
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T028,percentage,0,324,36
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T029,percentage,0,420,360
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T030,percentage,0,849.6,$864
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T031,percentage,1,476,$476
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T032,percentage,0,1100,"$1,087.50"
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T033,percentage,1,1560,"$1,560"
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T034,percentage,1,196,196
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T035,percentage,1,156,$156
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T036,word_problem,0,4374,$405
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T037,word_problem,0,3500,"$2,500"
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T038,word_problem,0,3360,1680
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T039,word_problem,0,4200,$840
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T040,word_problem,0,1728,"$2,880"
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T041,word_problem,0,3600,"$1,800"
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T042,word_problem,0,12600,2100
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T043,word_problem,0,3630,"$3,330"
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T044,word_problem,0,8064,3360
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T045,word_problem,0,12600,$8400
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T046,word_problem,0,7840,"$14,000"
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T047,word_problem,1,6720,$6720
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T048,word_problem,1,6000,"$6,000"
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T049,word_problem,0,6480,"$10,800"
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T050,word_problem,0,4375,"$3,125"
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T051,word_problem,1,2700,2700
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T052,word_problem,0,1680,840
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T053,word_problem,0,6930,"$6,330"
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T054,word_problem,0,4752,"$2,640"
