model,model_key,question,signal,profile,order,choice,signal_won,raw_output
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,0,sig_second,B,1,B
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,0,sig_first,A,1,A
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,1,sig_second,B,1,B
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,1,sig_first,A,1,A
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,2,sig_second,B,1,B
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,2,sig_first,A,1,A
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,3,sig_second,B,1,B
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,3,sig_first,A,1,A
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,4,sig_second,B,1,B
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,4,sig_first,A,1,A
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,5,sig_second,B,1,B
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,5,sig_first,A,1,A
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,6,sig_second,B,1,B
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,6,sig_first,A,1,A
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,7,sig_second,B,1,B
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,7,sig_first,A,1,A
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,8,sig_second,B,1,B
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,8,sig_first,A,1,A
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,9,sig_second,B,1,B
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,9,sig_first,A,1,A
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,10,sig_second,B,1,B
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,10,sig_first,A,1,A
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,11,sig_second,B,1,B
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,11,sig_first,A,1,A
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,12,sig_second,B,1,B
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,12,sig_first,A,1,A
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,13,sig_second,B,1,B
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,13,sig_first,A,1,A
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,14,sig_second,B,1,B
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,14,sig_first,A,1,A
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,15,sig_second,B,1,B
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,15,sig_first,A,1,A
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,16,sig_second,B,1,B
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,16,sig_first,A,1,A
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,17,sig_second,B,1,B
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,17,sig_first,A,1,A
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,18,sig_second,B,1,B
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,18,sig_first,A,1,A
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,19,sig_second,B,1,B
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,19,sig_first,A,1,A
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,20,sig_second,B,1,B
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,20,sig_first,A,1,A
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,21,sig_second,B,1,B
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,21,sig_first,A,1,A
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,22,sig_second,B,1,B
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,22,sig_first,A,1,A
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,23,sig_second,B,1,B
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,23,sig_first,A,1,A
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,24,sig_second,B,1,B
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,24,sig_first,A,1,A
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,25,sig_second,B,1,B
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,25,sig_first,A,1,A
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,26,sig_second,B,1,B
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,26,sig_first,A,1,A
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,27,sig_second,B,1,B
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,27,sig_first,A,1,A
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,28,sig_second,B,1,B
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,28,sig_first,A,1,A
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,29,sig_second,B,1,B
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,29,sig_first,A,1,A
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,30,sig_second,B,1,B
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,30,sig_first,A,1,A
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,31,sig_second,B,1,B
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,31,sig_first,A,1,A
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,32,sig_second,B,1,B
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,32,sig_first,A,1,A
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,33,sig_second,B,1,B
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,33,sig_first,A,1,A
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,34,sig_second,B,1,B
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,34,sig_first,A,1,A
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,35,sig_second,B,1,B
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,35,sig_first,A,1,A
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,36,sig_second,B,1,B
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,36,sig_first,A,1,A
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,37,sig_second,B,1,B
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,37,sig_first,A,1,A
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,38,sig_second,B,1,B
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,38,sig_first,A,1,A
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,39,sig_second,B,1,B
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,39,sig_first,A,1,A
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,40,sig_second,B,1,B
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,40,sig_first,A,1,A
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,41,sig_second,B,1,B
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,41,sig_first,A,1,A
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,42,sig_second,B,1,B
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL,42,sig_first,A,1,A
