judge,judge_key,answer_model,question_id,comparison,order,lp_A,lp_B,letter_mass,words_changed,words_reference
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q001,IDENTITY,chg_A,-0.011627,-5.136627,0.994317,268,268
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q001,IDENTITY,chg_B,-0.011627,-5.136627,0.994317,268,268
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q001,NONE_vs_CONTROL,chg_A,-0.030731,-4.155730,0.985410,262,268
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q001,NONE_vs_CONTROL,chg_B,-0.046497,-4.046496,0.972051,262,268
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q001,SCREEN,chg_A,-0.164309,-2.164306,0.963309,261,268
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q001,SCREEN,chg_B,-0.108781,-3.108780,0.941582,261,268
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q001,AGE,chg_A,-0.095032,-3.095031,0.954617,265,268
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q001,AGE,chg_B,-0.064245,-3.689244,0.962766,265,268
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q001,ADHD,chg_A,-0.318719,-1.443711,0.963130,262,268
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q001,ADHD,chg_B,-0.078054,-3.578052,0.952845,262,268
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q002,IDENTITY,chg_A,-0.019189,-4.769189,0.989481,230,230
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q002,IDENTITY,chg_B,-0.019189,-4.769189,0.989481,230,230
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q002,NONE_vs_CONTROL,chg_A,-0.056347,-3.431345,0.977555,220,230
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q002,NONE_vs_CONTROL,chg_B,-0.064389,-3.814388,0.959691,220,230
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q002,SCREEN,chg_A,-0.211287,-1.836256,0.968955,228,230
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q002,SCREEN,chg_B,-0.025195,-4.025190,0.992980,228,230
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q002,AGE,chg_A,-0.178793,-2.303790,0.936159,233,230
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q002,AGE,chg_B,-0.054450,-3.679438,0.972243,233,230
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q002,ADHD,chg_A,-0.132158,-2.257116,0.980855,200,230
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q002,ADHD,chg_B,-0.024345,-4.149307,0.991724,200,230
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q003,IDENTITY,chg_A,-0.014603,-5.514602,0.989530,233,233
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q003,IDENTITY,chg_B,-0.014603,-5.514602,0.989530,233,233
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q003,NONE_vs_CONTROL,chg_A,-0.079761,-2.954757,0.975428,240,233
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q003,NONE_vs_CONTROL,chg_B,-0.117327,-2.492307,0.972013,240,233
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q003,SCREEN,chg_A,-0.173789,-2.048785,0.969366,235,233
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q003,SCREEN,chg_B,-0.058319,-3.183313,0.984797,235,233
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q003,AGE,chg_A,-0.116415,-2.491405,0.972899,259,233
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q003,AGE,chg_B,-0.057113,-3.807099,0.966700,259,233
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q003,ADHD,chg_A,-0.108890,-2.733883,0.961795,222,233
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q003,ADHD,chg_B,-0.134006,-2.383984,0.966767,222,233
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q004,IDENTITY,chg_A,-0.038860,-5.163860,0.967605,246,246
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q004,IDENTITY,chg_B,-0.038860,-5.163860,0.967605,246,246
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q004,NONE_vs_CONTROL,chg_A,-0.025906,-5.150906,0.980220,245,246
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q004,NONE_vs_CONTROL,chg_B,-0.042127,-3.917127,0.978646,245,246
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q004,SCREEN,chg_A,-0.063452,-3.188450,0.979755,242,246
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q004,SCREEN,chg_B,-0.027894,-5.652873,0.975999,242,246
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q004,AGE,chg_A,-0.047695,-5.172694,0.959094,243,246
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q004,AGE,chg_B,-0.061010,-3.936010,0.960340,243,246
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q004,ADHD,chg_A,-0.028053,-4.653053,0.981869,254,246
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q004,ADHD,chg_B,-0.031201,-5.531201,0.973242,254,246
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q005,IDENTITY,chg_A,-0.015219,-5.890219,0.987662,249,249
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q005,IDENTITY,chg_B,-0.015219,-5.890219,0.987662,249,249
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q005,NONE_vs_CONTROL,chg_A,-0.026732,-3.901731,0.993829,249,249
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q005,NONE_vs_CONTROL,chg_B,-0.051891,-3.176877,0.991148,249,249
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q005,SCREEN,chg_A,-0.065288,-3.065285,0.983438,256,249
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q005,SCREEN,chg_B,-0.075342,-2.825279,0.986719,256,249
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q005,AGE,chg_A,-0.099709,-2.599706,0.979396,247,249
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q005,AGE,chg_B,-0.064766,-3.189761,0.978468,247,249
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q005,ADHD,chg_A,-0.158213,-2.158207,0.969200,228,249
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q005,ADHD,chg_B,-0.064376,-3.189300,0.978853,228,249
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q006,IDENTITY,chg_A,-0.010580,-5.760577,0.992625,236,236
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q006,IDENTITY,chg_B,-0.010580,-5.760577,0.992625,236,236
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q006,NONE_vs_CONTROL,chg_A,-0.018458,-4.768443,0.990204,228,236
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q006,NONE_vs_CONTROL,chg_B,-0.047447,-3.297418,0.990639,228,236
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q006,SCREEN,chg_A,-0.047975,-3.547965,0.981941,228,236
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q006,SCREEN,chg_B,-0.049004,-3.299000,0.989097,228,236
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q006,AGE,chg_A,-0.055031,-3.430018,0.978842,225,236
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q006,AGE,chg_B,-0.051872,-3.301853,0.986265,225,236
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q006,ADHD,chg_A,-0.045854,-4.170850,0.970620,220,236
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q006,ADHD,chg_B,-0.056157,-3.431139,0.977740,220,236
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q007,IDENTITY,chg_A,-0.030070,-4.780070,0.978773,249,249
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q007,IDENTITY,chg_B,-0.030070,-4.780070,0.978773,249,249
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q007,NONE_vs_CONTROL,chg_A,-0.071613,-3.071610,0.977238,244,249
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q007,NONE_vs_CONTROL,chg_B,-0.128946,-2.253909,0.984010,244,249
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q007,SCREEN,chg_A,-0.055926,-3.305901,0.982275,253,249
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q007,SCREEN,chg_B,-0.028533,-5.403523,0.976371,253,249
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q007,AGE,chg_A,-0.135686,-2.260678,0.977396,236,249
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q007,AGE,chg_B,-0.102329,-2.727296,0.968129,236,249
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q007,ADHD,chg_A,-0.113729,-2.488722,0.975516,252,249
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q007,ADHD,chg_B,-0.190208,-1.940189,0.970464,252,249
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q008,IDENTITY,chg_A,-0.017880,-5.267880,0.987433,249,249
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q008,IDENTITY,chg_B,-0.017880,-5.267880,0.987433,249,249
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q008,NONE_vs_CONTROL,chg_A,-0.024912,-4.774912,0.983835,242,249
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q008,NONE_vs_CONTROL,chg_B,-0.037537,-4.412537,0.975283,242,249
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q008,SCREEN,chg_A,-0.223035,-1.722986,0.978619,242,249
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q008,SCREEN,chg_B,-0.047187,-3.297181,0.990896,242,249
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q008,AGE,chg_A,-0.133109,-2.258104,0.979918,226,249
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q008,AGE,chg_B,-0.064816,-2.939815,0.990115,226,249
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q008,ADHD,chg_A,-0.085728,-2.835725,0.976520,253,249
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q008,ADHD,chg_B,-0.265670,-1.515665,0.986354,253,249
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q009,IDENTITY,chg_A,-0.022628,-4.897628,0.985091,262,262
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q009,IDENTITY,chg_B,-0.022628,-4.897628,0.985091,262,262
meta-llama/Llama-3.1-8B-Instruct,llama,qwen,Q009,NONE_vs_CONTROL,chg_A,-0.121865,-2.371862,0.978575,228,262
