model,model_key,condition,label,task_id,family,correct,answer_key,raw_output
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T001,percentage,0,3480,3360
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T002,percentage,1,312.5,312.5
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T003,percentage,1,288,288
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T004,percentage,0,1044,1056
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T005,percentage,1,500,500
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T006,percentage,1,26.4,26.4
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T007,percentage,0,697,687
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T008,percentage,1,540,540
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T009,percentage,1,127.5,127.5
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T010,percentage,1,150,150
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T011,percentage,1,1408,1408
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T012,percentage,1,119,119
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T013,percentage,1,528,528
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T014,percentage,1,30,30
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T015,percentage,0,552.5,557.5
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T016,percentage,1,672,672
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T017,percentage,1,2560,2560
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T018,percentage,1,422.4,422.4
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T019,percentage,1,192,192
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T020,percentage,1,30,30
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T021,percentage,1,108,108
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T022,percentage,0,196.8,192
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T023,percentage,1,225,225
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T024,percentage,1,90,90
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T025,percentage,1,500,500
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T026,percentage,1,352,352
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T027,percentage,1,960,960
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T028,percentage,1,324,324
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T029,percentage,1,420,420
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T030,percentage,0,849.6,859.60
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T031,percentage,1,476,476
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T032,percentage,1,1100,1100
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T033,percentage,1,1560,1560
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T034,percentage,1,196,196
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T035,percentage,1,156,156
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T036,word_problem,0,4374,486
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T037,word_problem,0,3500,875
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T038,word_problem,0,3360,840
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T039,word_problem,0,4200,770
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T040,word_problem,0,1728,576
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T041,word_problem,1,3600,3600
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T042,word_problem,1,12600,12600
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T043,word_problem,0,3630,385
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T044,word_problem,0,8064,3360
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T045,word_problem,0,12600,1890
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T046,word_problem,0,7840,11960
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T047,word_problem,0,6720,1680
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T048,word_problem,1,6000,6000
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T049,word_problem,0,6480,720
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T050,word_problem,0,4375,875
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T051,word_problem,0,2700,900
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T052,word_problem,0,1680,840
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T053,word_problem,0,6930,2310
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T054,word_problem,0,4752,4356
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T055,word_problem,0,6480,540
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T056,word_problem,0,2916,3402
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T057,word_problem,0,3456,936
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T058,word_problem,0,4800,1200
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T059,word_problem,1,4200,4200
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T060,word_problem,0,5250,4250
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T061,word_problem,0,4410,1190
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T062,word_problem,0,4752,4956
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T063,word_problem,0,6000,600
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T064,word_problem,0,5000,500
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T065,word_problem,0,10080,840
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T066,conversion,1,2160,2160
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T067,conversion,0,1152,384
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T068,conversion,1,630,630
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T069,conversion,0,48000,4800
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T070,conversion,1,900,900
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T071,conversion,1,720,720
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T072,conversion,0,125000,12500
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T073,conversion,1,1440,1440
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T074,conversion,0,864,288
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T075,conversion,1,12000,12000
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T076,conversion,1,24000,24000
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T077,conversion,1,125000,125000
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T078,conversion,0,3000,300
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T079,conversion,1,720,720
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T080,conversion,1,3000,3000
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T081,conversion,0,60000,6000
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T082,conversion,0,36000,3600
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T083,conversion,1,15000,15000
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T084,conversion,1,12000,12000
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T085,conversion,1,105,105
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T086,conversion,1,360,360
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T087,conversion,1,7000,7000
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T088,conversion,1,72,72
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T089,conversion,1,48000,48000
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T090,conversion,1,720,720
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T091,date,1,25 April 2026,25 April 2026
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T092,date,0,10 June 2026,30 June 2026
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T093,date,1,27 April 2026,27 April 2026
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T094,date,0,26 November 2026,25 November 2026
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T095,date,0,08 October 2026,30 October 2026
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T096,date,0,11 November 2026,10 November 2026
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T097,date,0,16 March 2026,23 March 2026
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T098,date,0,01 June 2026,30 June 2026
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T099,date,0,16 October 2026,30 October 2026
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T100,date,0,12 June 2026,30 May 2026
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T101,date,1,24 June 2026,24 June 2026
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T102,date,1,25 July 2026,25 July 2026
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T103,date,1,14 November 2026,14 November 2026
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T104,date,0,06 February 2027,10 February 2027
