model,measure,kind,signal,case,value,status,raw_output
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,0,85000.0,ok,"$85,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,1,120000.0,ok,"$120,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,2,120000.0,ok,"$120,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,3,83000.0,ok,"$83,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,4,250000.0,ok,"$250,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,5,55000.0,ok,"$55,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,6,83000.0,ok,"$83,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,7,85000.0,ok,"$85,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,8,175000.0,ok,"$175,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,9,83000.0,ok,"$83,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,10,65000.0,ok,"$65,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,11,65000.0,ok,"$65,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,12,120000.0,ok,"$120,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,13,55000.0,ok,55000
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,14,85000.0,ok,"$85,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,15,175000.0,ok,"$175,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,16,83000.0,ok,"$83,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,17,85000.0,ok,"$85,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,18,85000.0,ok,"$85,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,19,83000.0,ok,"$83,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,20,145000.0,ok,"$145,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,21,83000.0,ok,"$83,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,22,65000.0,ok,"$65,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,23,175000.0,ok,"$175,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,24,85000.0,ok,"$85,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,25,175000.0,ok,"$175,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,26,85000.0,ok,"$85,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,27,85000.0,ok,"$85,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,28,85000.0,ok,"$85,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,29,85000.0,ok,"$85,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,30,120000.0,ok,"$120,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,31,85000.0,ok,"$85,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,32,145000.0,ok,"$145,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,33,85000.0,ok,"$85,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,34,85000.0,ok,"$85,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,35,95000.0,ok,"$95,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,36,120000.0,ok,"$120,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,37,120000.0,ok,"$120,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,38,145000.0,ok,"$145,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,39,175000.0,ok,"$175,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,40,85000.0,ok,"$85,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,41,85000.0,ok,"$85,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,42,120000.0,ok,"$120,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,43,120000.0,ok,"$120,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,44,145000.0,ok,"$145,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,45,175000.0,ok,"$175,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,46,83000.0,ok,"$83,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,47,85000.0,ok,"$85,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,48,175000.0,ok,"$175,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,49,83000.0,ok,"$83,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,50,45000.0,ok,"$45,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,51,85000.0,ok,"$85,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,52,83000.0,ok,"$83,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,53,120000.0,ok,"$120,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,54,95000.0,ok,"$95,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,55,85000.0,ok,"$85,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,56,65000.0,ok,"$65,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,57,65000.0,ok,"$65,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,58,83000.0,ok,"$83,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,59,175000.0,ok,"$175,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,60,85000.0,ok,"$85,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,61,175000.0,ok,"$175,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,62,85000.0,ok,"$85,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,63,83000.0,ok,"$83,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,64,83000.0,ok,"$83,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,65,120000.0,ok,"$120,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,66,65000.0,ok,"$65,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,67,83000.0,ok,"$83,000"
meta-llama/Llama-3.1-8B-Instruct,SALARY,allocation,NONE,68,250000.0,ok,"$250,000"
