model,model_key,question,signal,profile,order,lp_A,lp_B
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,0,sig_A,-0.000448,-11.250448
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,0,sig_B,-0.000448,-11.250448
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,1,sig_A,-0.000262,-9.750262
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,1,sig_B,-0.000262,-9.750262
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,2,sig_A,-0.000281,-11.000280
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,2,sig_B,-0.000281,-11.000280
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,3,sig_A,-0.010232,-10.635232
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,3,sig_B,-0.010232,-10.635232
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,4,sig_A,-0.000331,-10.375331
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,4,sig_B,-0.000331,-10.375331
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,5,sig_A,-0.000685,-10.125686
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,5,sig_B,-0.000685,-10.125686
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,6,sig_A,-0.000616,-11.750615
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,6,sig_B,-0.000616,-11.750615
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,7,sig_A,-0.002292,-10.252292
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,7,sig_B,-0.002292,-10.252292
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,8,sig_A,-0.000681,-7.500681
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,8,sig_B,-0.000681,-7.500681
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,9,sig_A,-0.000146,-11.375146
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,9,sig_B,-0.000146,-11.375146
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,10,sig_A,-0.000656,-11.500656
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,10,sig_B,-0.000656,-11.500656
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,11,sig_A,-0.000434,-12.000434
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,11,sig_B,-0.000434,-12.000434
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,12,sig_A,-0.000072,-11.125072
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,12,sig_B,-0.000072,-11.125072
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,13,sig_A,-0.000164,-9.625164
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,13,sig_B,-0.000164,-9.625164
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,14,sig_A,-0.000384,-8.750383
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,14,sig_B,-0.000384,-8.750383
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,15,sig_A,-0.000326,-12.250326
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,15,sig_B,-0.000326,-12.250326
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,16,sig_A,-0.000090,-10.875090
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,16,sig_B,-0.000090,-10.875090
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,17,sig_A,-0.000552,-8.875552
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,17,sig_B,-0.000552,-8.875552
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,18,sig_A,-0.001123,-11.251122
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,18,sig_B,-0.001123,-11.251122
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,19,sig_A,-0.000858,-11.875858
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,19,sig_B,-0.000858,-11.875858
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,20,sig_A,-0.000562,-11.000562
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,20,sig_B,-0.000562,-11.000562
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,21,sig_A,-0.006584,-10.506584
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,21,sig_B,-0.006584,-10.506584
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,22,sig_A,-0.002221,-12.002221
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,22,sig_B,-0.002221,-12.002221
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,23,sig_A,-0.000530,-12.625529
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,23,sig_B,-0.000530,-12.625529
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,24,sig_A,-0.000256,-14.625257
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,24,sig_B,-0.000256,-14.625257
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,25,sig_A,-0.000784,-9.125784
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,25,sig_B,-0.000784,-9.125784
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,26,sig_A,-0.000659,-11.500659
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,26,sig_B,-0.000659,-11.500659
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,27,sig_A,-0.000070,-10.625070
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,27,sig_B,-0.000070,-10.625070
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,28,sig_A,-0.000096,-10.250096
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,28,sig_B,-0.000096,-10.250096
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,29,sig_A,-0.008108,-9.383108
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,29,sig_B,-0.008108,-9.383108
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,30,sig_A,-0.008497,-10.258497
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,30,sig_B,-0.008497,-10.258497
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,31,sig_A,-0.000015,-11.375015
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,31,sig_B,-0.000015,-11.375015
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,32,sig_A,-0.001397,-11.376396
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,32,sig_B,-0.001397,-11.376396
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,33,sig_A,-0.000090,-10.750090
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,33,sig_B,-0.000090,-10.750090
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,34,sig_A,-0.000231,-10.375231
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,34,sig_B,-0.000231,-10.375231
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,35,sig_A,-0.000576,-10.875576
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,35,sig_B,-0.000576,-10.875576
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,36,sig_A,-0.000077,-10.375077
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,36,sig_B,-0.000077,-10.375077
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,37,sig_A,-0.000326,-9.125326
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,37,sig_B,-0.000326,-9.125326
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,38,sig_A,-0.001507,-9.126507
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,38,sig_B,-0.001507,-9.126507
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,39,sig_A,-0.000899,-11.500899
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,39,sig_B,-0.000899,-11.500899
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,40,sig_A,-0.000169,-10.375169
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,40,sig_B,-0.000169,-10.375169
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,41,sig_A,-0.000217,-9.125217
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,41,sig_B,-0.000217,-9.125217
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,42,sig_A,-0.000242,-9.125241
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,42,sig_B,-0.000242,-9.125241
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,43,sig_A,-0.001551,-10.876551
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,43,sig_B,-0.001551,-10.876551
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,44,sig_A,-0.000266,-12.375266
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,44,sig_B,-0.000266,-12.375266
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,45,sig_A,-0.000011,-13.000010
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,45,sig_B,-0.000011,-13.000010
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,46,sig_A,-0.000096,-12.875095
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,46,sig_B,-0.000096,-12.875095
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,47,sig_A,-0.000430,-10.750430
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,47,sig_B,-0.000430,-10.750430
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,48,sig_A,-0.001193,-12.376193
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,48,sig_B,-0.001193,-12.376193
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,49,sig_A,-0.000272,-12.500272
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,49,sig_B,-0.000272,-12.500272
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,50,sig_A,-0.004615,-10.879616
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,50,sig_B,-0.004615,-10.879616
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,51,sig_A,-0.000049,-11.000050
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,51,sig_B,-0.000049,-11.000050
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,52,sig_A,-0.000270,-10.750270
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,52,sig_B,-0.000270,-10.750270
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,53,sig_A,-0.000390,-10.125390
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,53,sig_B,-0.000390,-10.125390
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,54,sig_A,-0.000158,-10.750158
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,54,sig_B,-0.000158,-10.750158
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,55,sig_A,-0.000632,-12.500631
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,55,sig_B,-0.000632,-12.500631
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,56,sig_A,-0.000373,-8.000373
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,56,sig_B,-0.000373,-8.000373
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,57,sig_A,-0.010531,-11.135530
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,57,sig_B,-0.010531,-11.135530
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,58,sig_A,-0.000092,-9.875092
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,58,sig_B,-0.000092,-9.875092
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,59,sig_A,-0.008086,-10.633086
