model,model_key,question,signal,profile,order,lp_A,lp_B
mistralai/Mistral-7B-Instruct-v0.3,mistral,HIRE,CONTROL_ID,0,sig_A,-0.768469,-8.393469
mistralai/Mistral-7B-Instruct-v0.3,mistral,HIRE,CONTROL_ID,0,sig_B,-0.768469,-8.393469
mistralai/Mistral-7B-Instruct-v0.3,mistral,HIRE,CONTROL_ID,1,sig_A,-1.011091,-8.323591
mistralai/Mistral-7B-Instruct-v0.3,mistral,HIRE,CONTROL_ID,1,sig_B,-1.011091,-8.323591
mistralai/Mistral-7B-Instruct-v0.3,mistral,HIRE,CONTROL_ID,2,sig_A,-0.475516,-9.100516
mistralai/Mistral-7B-Instruct-v0.3,mistral,HIRE,CONTROL_ID,2,sig_B,-0.475516,-9.100516
mistralai/Mistral-7B-Instruct-v0.3,mistral,HIRE,CONTROL_ID,3,sig_A,-0.641041,-8.828541
mistralai/Mistral-7B-Instruct-v0.3,mistral,HIRE,CONTROL_ID,3,sig_B,-0.641041,-8.828541
mistralai/Mistral-7B-Instruct-v0.3,mistral,HIRE,CONTROL_ID,4,sig_A,-0.672315,-8.984816
mistralai/Mistral-7B-Instruct-v0.3,mistral,HIRE,CONTROL_ID,4,sig_B,-0.672315,-8.984816
mistralai/Mistral-7B-Instruct-v0.3,mistral,HIRE,CONTROL_ID,5,sig_A,-1.024787,-8.774787
mistralai/Mistral-7B-Instruct-v0.3,mistral,HIRE,CONTROL_ID,5,sig_B,-1.024787,-8.774787
mistralai/Mistral-7B-Instruct-v0.3,mistral,HIRE,CONTROL_ID,6,sig_A,-0.623621,-8.123621
mistralai/Mistral-7B-Instruct-v0.3,mistral,HIRE,CONTROL_ID,6,sig_B,-0.623621,-8.123621
mistralai/Mistral-7B-Instruct-v0.3,mistral,HIRE,CONTROL_ID,7,sig_A,-1.293383,-7.855883
mistralai/Mistral-7B-Instruct-v0.3,mistral,HIRE,CONTROL_ID,7,sig_B,-1.293383,-7.855883
mistralai/Mistral-7B-Instruct-v0.3,mistral,HIRE,CONTROL_ID,8,sig_A,-0.695823,-8.633323
mistralai/Mistral-7B-Instruct-v0.3,mistral,HIRE,CONTROL_ID,8,sig_B,-0.695823,-8.633323
mistralai/Mistral-7B-Instruct-v0.3,mistral,HIRE,CONTROL_ID,9,sig_A,-1.030289,-8.342789
mistralai/Mistral-7B-Instruct-v0.3,mistral,HIRE,CONTROL_ID,9,sig_B,-1.030289,-8.342789
mistralai/Mistral-7B-Instruct-v0.3,mistral,HIRE,CONTROL_ID,10,sig_A,-1.492129,-8.492129
mistralai/Mistral-7B-Instruct-v0.3,mistral,HIRE,CONTROL_ID,10,sig_B,-1.492129,-8.492129
mistralai/Mistral-7B-Instruct-v0.3,mistral,HIRE,CONTROL_ID,11,sig_A,-0.608671,-8.921171
mistralai/Mistral-7B-Instruct-v0.3,mistral,HIRE,CONTROL_ID,11,sig_B,-0.608671,-8.921171
mistralai/Mistral-7B-Instruct-v0.3,mistral,HIRE,CONTROL_ID,12,sig_A,-0.682257,-8.369757
mistralai/Mistral-7B-Instruct-v0.3,mistral,HIRE,CONTROL_ID,12,sig_B,-0.682257,-8.369757
mistralai/Mistral-7B-Instruct-v0.3,mistral,HIRE,CONTROL_ID,13,sig_A,-0.808997,-9.058996
mistralai/Mistral-7B-Instruct-v0.3,mistral,HIRE,CONTROL_ID,13,sig_B,-0.808997,-9.058996
