model,model_key,prompt_id,signal,profile,trait,logprob
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,0,intelligent,-8.391319
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,0,stupid,-15.016319
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,0,hardworking,-3.818815
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,0,lazy,-10.672569
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,0,polite,-11.047569
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,0,rude,-13.047569
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,0,calm,-8.672569
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,0,aggressive,-8.922569
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,0,educated,-9.360069
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,0,ignorant,-13.639366
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,0,trustworthy,-4.879297
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,0,suspicious,-11.735069
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,1,intelligent,-8.992832
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,1,stupid,-14.711582
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,1,hardworking,-3.542384
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,1,lazy,-10.633457
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,1,polite,-11.227207
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,1,rude,-12.156895
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,1,calm,-8.274082
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,1,aggressive,-9.742832
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,1,educated,-9.680332
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,1,ignorant,-13.897129
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,1,trustworthy,-4.985909
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,1,suspicious,-11.820957
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,2,intelligent,-10.086670
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,2,stupid,-14.418701
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,2,hardworking,-4.451566
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,2,lazy,-9.946045
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,2,polite,-12.844482
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,2,rude,-13.481201
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,2,calm,-10.649170
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,2,aggressive,-9.696045
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,2,educated,-11.586670
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,2,ignorant,-13.469482
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,2,trustworthy,-6.193618
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,2,suspicious,-11.492920
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,3,intelligent,-10.346414
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,3,stupid,-13.174539
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,3,hardworking,-4.146302
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,3,lazy,-10.268289
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,3,polite,-12.385476
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,3,rude,-12.776101
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,3,calm,-9.674539
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,3,aggressive,-10.658914
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,3,educated,-11.080789
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,3,ignorant,-12.619851
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,3,trustworthy,-5.850191
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,3,suspicious,-11.846414
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,4,intelligent,-8.525491
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,4,stupid,-15.337991
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,4,hardworking,-3.516047
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,4,lazy,-9.681741
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,4,polite,-9.869241
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,4,rude,-12.025491
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,4,calm,-8.056741
mistralai/Mistral-7B-Instruct-v0.3,mistral,P0,NONE,4,aggressive,-9.150491
