judge,judge_key,answer_model,question_id,comparison,order,lp_A,lp_B,letter_mass,words_changed,words_reference
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q001,IDENTITY,chg_A,-0.001935,-6.251935,0.999994,268,268
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q001,IDENTITY,chg_B,-0.001935,-6.251935,0.999994,268,268
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q001,NONE_vs_CONTROL,chg_A,-0.000553,-7.500553,1.000000,262,268
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q001,NONE_vs_CONTROL,chg_B,-0.000159,-8.750159,1.000000,262,268
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q001,SCREEN,chg_A,-0.251929,-1.501930,1.000000,261,268
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q001,SCREEN,chg_B,-0.004085,-5.504085,0.999994,261,268
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q001,AGE,chg_A,-0.002476,-6.002476,1.000000,265,268
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q001,AGE,chg_B,-0.001171,-6.751171,0.999999,265,268
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q001,ADHD,chg_A,-0.038043,-3.288043,0.999998,262,268
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q001,ADHD,chg_B,-0.002486,-6.002486,0.999990,262,268
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q002,IDENTITY,chg_A,-0.000048,-10.250049,0.999987,230,230
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q002,IDENTITY,chg_B,-0.000048,-10.250049,0.999987,230,230
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q002,NONE_vs_CONTROL,chg_A,-0.006725,-5.006724,0.999991,220,230
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q002,NONE_vs_CONTROL,chg_B,-0.003187,-5.753187,0.999991,220,230
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q002,SCREEN,chg_A,-1.136873,-0.386873,0.999998,228,230
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q002,SCREEN,chg_B,-0.000000,-15.750000,1.000000,228,230
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q002,AGE,chg_A,-0.061972,-2.811971,0.999996,233,230
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q002,AGE,chg_B,-0.000124,-9.000124,0.999999,233,230
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q002,ADHD,chg_A,-2.350208,-0.100208,0.999999,200,230
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q002,ADHD,chg_B,-0.000075,-9.500075,0.999999,200,230
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q003,IDENTITY,chg_A,-0.000110,-9.500111,0.999964,233,233
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q003,IDENTITY,chg_B,-0.000110,-9.500111,0.999964,233,233
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q003,NONE_vs_CONTROL,chg_A,-0.000336,-8.000337,0.999999,240,233
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q003,NONE_vs_CONTROL,chg_B,-0.061970,-2.811970,0.999998,240,233
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q003,SCREEN,chg_A,-0.001505,-6.501505,0.999997,235,233
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q003,SCREEN,chg_B,-0.974086,-0.474086,0.999991,235,233
