judge,judge_key,answer_model,question_id,comparison,order,lp_A,lp_B,letter_mass,words_changed,words_reference
mistralai/Mistral-7B-Instruct-v0.3,mistral,qwen,Q001,IDENTITY,chg_A,-1.157937,-5.220437,0.319538,268,268
mistralai/Mistral-7B-Instruct-v0.3,mistral,qwen,Q001,IDENTITY,chg_B,-1.157937,-5.220437,0.319538,268,268
mistralai/Mistral-7B-Instruct-v0.3,mistral,qwen,Q001,NONE_vs_CONTROL,chg_A,-1.450442,-4.950442,0.241547,262,268
mistralai/Mistral-7B-Instruct-v0.3,mistral,qwen,Q001,NONE_vs_CONTROL,chg_B,-1.309567,-4.497067,0.281079,262,268
mistralai/Mistral-7B-Instruct-v0.3,mistral,qwen,Q001,SCREEN,chg_A,-1.117443,-5.429943,0.331499,261,268
mistralai/Mistral-7B-Instruct-v0.3,mistral,qwen,Q001,SCREEN,chg_B,-2.221484,-6.221484,0.110434,261,268
mistralai/Mistral-7B-Instruct-v0.3,mistral,qwen,Q001,AGE,chg_A,-1.494047,-4.494047,0.235638,265,268
mistralai/Mistral-7B-Instruct-v0.3,mistral,qwen,Q001,AGE,chg_B,-1.596629,-6.784129,0.203710,265,268
mistralai/Mistral-7B-Instruct-v0.3,mistral,qwen,Q001,ADHD,chg_A,-0.618432,-4.868432,0.546474,262,268
mistralai/Mistral-7B-Instruct-v0.3,mistral,qwen,Q001,ADHD,chg_B,-0.531015,-5.906014,0.590731,262,268
mistralai/Mistral-7B-Instruct-v0.3,mistral,qwen,Q002,IDENTITY,chg_A,-2.125237,-6.875237,0.120438,230,230
mistralai/Mistral-7B-Instruct-v0.3,mistral,qwen,Q002,IDENTITY,chg_B,-2.125237,-6.875237,0.120438,230,230
mistralai/Mistral-7B-Instruct-v0.3,mistral,qwen,Q002,NONE_vs_CONTROL,chg_A,-2.928080,-6.178080,0.055574,220,230
mistralai/Mistral-7B-Instruct-v0.3,mistral,qwen,Q002,NONE_vs_CONTROL,chg_B,-2.709949,-5.584949,0.070294,220,230
mistralai/Mistral-7B-Instruct-v0.3,mistral,qwen,Q002,SCREEN,chg_A,-2.136344,-6.011344,0.120537,228,230
mistralai/Mistral-7B-Instruct-v0.3,mistral,qwen,Q002,SCREEN,chg_B,-0.329439,-5.954439,0.721922,228,230
mistralai/Mistral-7B-Instruct-v0.3,mistral,qwen,Q002,AGE,chg_A,-2.640494,-5.890494,0.074092,233,230
mistralai/Mistral-7B-Instruct-v0.3,mistral,qwen,Q002,AGE,chg_B,-1.584933,-8.272433,0.205217,233,230
mistralai/Mistral-7B-Instruct-v0.3,mistral,qwen,Q002,ADHD,chg_A,-2.538359,-7.288359,0.079679,200,230
mistralai/Mistral-7B-Instruct-v0.3,mistral,qwen,Q002,ADHD,chg_B,-1.984721,-8.547221,0.137613,200,230
mistralai/Mistral-7B-Instruct-v0.3,mistral,qwen,Q003,IDENTITY,chg_A,-2.828214,-6.515714,0.060598,233,233
mistralai/Mistral-7B-Instruct-v0.3,mistral,qwen,Q003,IDENTITY,chg_B,-2.828214,-6.515714,0.060598,233,233
mistralai/Mistral-7B-Instruct-v0.3,mistral,qwen,Q003,NONE_vs_CONTROL,chg_A,-2.774340,-7.274340,0.063084,240,233
mistralai/Mistral-7B-Instruct-v0.3,mistral,qwen,Q003,NONE_vs_CONTROL,chg_B,-2.087010,-5.962010,0.126632,240,233
mistralai/Mistral-7B-Instruct-v0.3,mistral,qwen,Q003,SCREEN,chg_A,-2.765257,-8.077757,0.063270,235,233
mistralai/Mistral-7B-Instruct-v0.3,mistral,qwen,Q003,SCREEN,chg_B,-1.326563,-4.764063,0.273919,235,233
