model,model_key,cell,wrapper,signal,task_id,family,correct,answer_key,raw_output
mistralai/Mistral-7B-Instruct-v0.3,mistral,W1_NONE,W1,NONE,T001,percentage,1,3480,The new price is approximately 3480 dollars.
mistralai/Mistral-7B-Instruct-v0.3,mistral,W1_NONE,W1,NONE,T002,percentage,1,312.5,312.5
mistralai/Mistral-7B-Instruct-v0.3,mistral,W1_NONE,W1,NONE,T003,percentage,1,288,The answer is 288.
mistralai/Mistral-7B-Instruct-v0.3,mistral,W1_NONE,W1,NONE,T004,percentage,0,1044,The new price is 1056 dollars.
mistralai/Mistral-7B-Instruct-v0.3,mistral,W1_NONE,W1,NONE,T005,percentage,1,500,The answer is 500.
mistralai/Mistral-7B-Instruct-v0.3,mistral,W1_NONE,W1,NONE,T006,percentage,1,26.4,26.4
mistralai/Mistral-7B-Instruct-v0.3,mistral,W1_NONE,W1,NONE,T007,percentage,0,697,723 (rounded to the nearest whole number)
mistralai/Mistral-7B-Instruct-v0.3,mistral,W1_NONE,W1,NONE,T008,percentage,1,540,The new price is 540 dollars.
mistralai/Mistral-7B-Instruct-v0.3,mistral,W1_NONE,W1,NONE,T009,percentage,1,127.5,127.5
mistralai/Mistral-7B-Instruct-v0.3,mistral,W1_NONE,W1,NONE,T010,percentage,1,150,The new price is 150 dollars.
mistralai/Mistral-7B-Instruct-v0.3,mistral,W1_NONE,W1,NONE,T011,percentage,0,1408,The new price is 1360 dollars.
mistralai/Mistral-7B-Instruct-v0.3,mistral,W1_NONE,W1,NONE,T012,percentage,1,119,The answer is 119.
mistralai/Mistral-7B-Instruct-v0.3,mistral,W1_NONE,W1,NONE,T013,percentage,1,528,528
mistralai/Mistral-7B-Instruct-v0.3,mistral,W1_NONE,W1,NONE,T014,percentage,1,30,The new price is $30.
mistralai/Mistral-7B-Instruct-v0.3,mistral,W1_NONE,W1,NONE,T015,percentage,0,552.5,The new price is 565 dollars.
mistralai/Mistral-7B-Instruct-v0.3,mistral,W1_NONE,W1,NONE,T016,percentage,1,672,The new price is 672 dollars.
mistralai/Mistral-7B-Instruct-v0.3,mistral,W1_NONE,W1,NONE,T017,percentage,1,2560,The new price is 2560 dollars.
mistralai/Mistral-7B-Instruct-v0.3,mistral,W1_NONE,W1,NONE,T018,percentage,0,422.4,427.20 (rounded to two decimal places)
