model,model_key,question,signal,profile,order,choice,signal_won,raw_output
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,0,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,0,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,1,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,1,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,2,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,2,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,3,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,3,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,4,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,4,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,5,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,5,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,6,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,6,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,7,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,7,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,8,sig_second,B,1,B
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,8,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,9,sig_second,B,1,B
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,9,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,10,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,10,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,11,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,11,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,12,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,12,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,13,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,13,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,14,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,14,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,15,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,15,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,16,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,16,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,17,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,17,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,18,sig_second,B,1,B
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,18,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,19,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,19,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,20,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,20,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,21,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,21,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,22,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,22,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,23,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,23,sig_first,A,1,A
