model,model_key,prompt_id,signal,profile,trait,logprob
meta-llama/Llama-3.1-8B-Instruct,llama,P0,NONE,0,intelligent,-9.049284
meta-llama/Llama-3.1-8B-Instruct,llama,P0,NONE,0,stupid,-14.611784
meta-llama/Llama-3.1-8B-Instruct,llama,P0,NONE,0,hardworking,-4.936574
meta-llama/Llama-3.1-8B-Instruct,llama,P0,NONE,0,lazy,-12.486784
meta-llama/Llama-3.1-8B-Instruct,llama,P0,NONE,0,polite,-9.518034
meta-llama/Llama-3.1-8B-Instruct,llama,P0,NONE,0,rude,-13.111784
meta-llama/Llama-3.1-8B-Instruct,llama,P0,NONE,0,calm,-9.643034
meta-llama/Llama-3.1-8B-Instruct,llama,P0,NONE,0,aggressive,-7.580534
meta-llama/Llama-3.1-8B-Instruct,llama,P0,NONE,0,educated,-8.580534
meta-llama/Llama-3.1-8B-Instruct,llama,P0,NONE,0,ignorant,-11.986784
meta-llama/Llama-3.1-8B-Instruct,llama,P0,NONE,0,trustworthy,-10.080534
meta-llama/Llama-3.1-8B-Instruct,llama,P0,NONE,0,suspicious,-12.361784
meta-llama/Llama-3.1-8B-Instruct,llama,P0,NONE,1,intelligent,-8.642473
meta-llama/Llama-3.1-8B-Instruct,llama,P0,NONE,1,stupid,-13.954973
meta-llama/Llama-3.1-8B-Instruct,llama,P0,NONE,1,hardworking,-4.507797
meta-llama/Llama-3.1-8B-Instruct,llama,P0,NONE,1,lazy,-12.048723
meta-llama/Llama-3.1-8B-Instruct,llama,P0,NONE,1,polite,-8.954973
meta-llama/Llama-3.1-8B-Instruct,llama,P0,NONE,1,rude,-12.892473
meta-llama/Llama-3.1-8B-Instruct,llama,P0,NONE,1,calm,-8.204973
meta-llama/Llama-3.1-8B-Instruct,llama,P0,NONE,1,aggressive,-7.704973
meta-llama/Llama-3.1-8B-Instruct,llama,P0,NONE,1,educated,-8.642473
meta-llama/Llama-3.1-8B-Instruct,llama,P0,NONE,1,ignorant,-12.908098
meta-llama/Llama-3.1-8B-Instruct,llama,P0,NONE,1,trustworthy,-8.892473
meta-llama/Llama-3.1-8B-Instruct,llama,P0,NONE,1,suspicious,-12.033098
